SCOP Superfamily	SCOP ID	Number in RPS	Number in Secretome	Ratio	Clone ID of Secretome clones containing domain																																																																																																	
PR-1-like	55797	10	8	0.80	PA639	PA5743	PC10780	PC18103	PC18794	PB19045	PB19260	B%SWISS-PROT:Q03402																																																																																										
Nudix	55811	23	6	0.26	PA406	PA3784	PC14870	PC18366	PC38101	PC9980																																																																																												
Bacteriophage T7 lysozyme (Zn amidase)	55846	2	2	1.00	PA5707	PB7712																																																																																																
ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase	55874	19	2	0.11	PA9727	PC30005																																																																																																
Ribonuclease Rh-like	55895	3	3	1.00	PC15745	PC50421	PC50448																																																																																															
Creatinase/aminopeptidase	55920	8	1	0.13	PB3437																																																																																																	
Glutamine synthase/guanidino kinase catalytic domain	55931	5	1	0.20	PA1349																																																																																																	
Phospholipase D/nuclease	56024	12	2	0.17	PC15117	PC22777																																																																																																
Protein kinase-like (PK-like)	56112	399	9	0.02	PB2202	PA4349	PC13106	PC14645	PA17567	PA1326	PA6939	PB19058	PC33240																																																																																									
FAD-binding domain	56176	5	1	0.20	B%TREMBL:Q9D5Z1;Q99JV7																																																																																																	
DNase I-like	56219	27	5	0.19	PA1735	PA1736	PB8643	PC10306	PC36731																																																																																													
N-terminal nucleophile aminohydrolases (Ntn hydrolases)	56235	26	3	0.12	PA642	PA877	PC8972																																																																																															
Metallo-hydrolase/oxidoreductase	56281	16	1	0.06	PC23303																																																																																																	
Metallo-dependent phosphatases	56300	26	3	0.12	PA498	PA7649	PC30902																																																																																															
Nitrilase/N-carbamoyl-D-aminoacid amidohydrolase	56317	5	2	0.40	PB6298	PA6383																																																																																																
ADP-ribosylation	56399	11	2	0.18	PC18273	PC25286																																																																																																
Succinate dehydrogenase/fumarate reductase catalytic domain	56425	1	1	1.00	PC8835																																																																																																	
C-type lectin-like	56436	99	33	0.33	PA643	PA956	PB1418	PA1420	PA1502	PA1543	PA1544	PB2142	PB3202	PA3611	PA3612	PA4182	PA4491	PB4809	PA4810	PA4811	PA4812	PB4991	PA5085	PA5087	PA5685	PA5693	PB6142	PC6711	PB6978	PC9444	PB9479	PC12754	PB14669	PC22007	PC24133	PC38643	B%TREMBL:Q9EPW4																																																																	
Scavenger receptor cysteine-rich (SRCR) domain	56487	20	8	0.40	PB810	PA1309	PA3342	PB4462	PB9370	PC12522	PB18934	PC35048																																																																																										
Fibrinogen C-terminal domain-like	56496	25	20	0.80	PC370	PA645	PA646	PB647	PA1423	PB1430	PA1439	PA2089	PA2126	PB3056	PB5686	PA6295	PC6732	PB7735	PC16698	PB18983	PB19346	PC23115	PC36712	PC51149																																																																														
Serpins	56574	45	16	0.36	PA651	PA1050	PA1155	PA2641	PA4201	PA4372	PA4393	PA5299	PA5308	PA5314	PC9666	PB9765	PC12936	PB14783	PC25416	PC31708																																																																																		
"""Acyl-CoA dehydrogenase (flavoprotein), N-terminal and middle domains"""	56645	13	3	0.23	PA446	PC8896	PC23993																																																																																															
Sugar phosphatases	56655	7	1	0.14	PB6130																																																																																																	
"""Nickel-iron hydrogenase, small subunit"""	56770	1	1	1.00	PC15938																																																																																																	
"""Heat shock protein 70kD (HSP70), C-terminal, substrate-binding fragment"""	56778	9	1	0.11	PB1064																																																																																																	
HAD-like	56784	30	3	0.10	PA1924	PC16776	PC28909																																																																																															
Firefly luciferase-like	56801	16	2	0.13	PC31622	PC22091																																																																																																
Insulin-like	56994	7	8	1.14	PA2899	PA2901	PA3008	PA3009	PA4857	PA6175	PA6527	B%SWISS-PROT:O09107																																																																																										
Agouti-related protein	57055	2	2	1.00	PA649	PA6778																																																																																																
Scorpion toxin-like	57095	1	1	1.00	PC17718																																																																																																	
IGF binding domain	57184	12	8	0.67	PA2904	PA2906	PA2907	PA2908	PA2909	PA2910	PC13643	PC15946																																																																																										
Colipase-like	57190	2	2	1.00	PA6775	PB8290																																																																																																
EGF/Laminin	57196	164	90	0.55	PB486	PA956	PA1005	PB1307	PB1441	PA1544	PB1816	PC1824	PB2018	PA2029	PA2073	PA2074	PA2075	PA2076	PB2287	PA2826	PA3254	PA3255	PA3257	PA3258	PA3259	PA3260	PA3261	PA3262	PA3263	PB3365	PB3367	PB3522	PA3595	PB3596	PA3599	PA3600	PA3601	PA3602	PA3674	PA3952	PB4043	PB4044	PC4076	PA4375	PA4376	PA4522	PA4527	PA4634	PA4635	PB4816	PC5206	PC5207	PC5208	PA5293	PA5567	PA5634	PA5635	PA5636	PB5637	PB5671	PB5686	PB5887	PA6156	PA6183	PB6268	PA6282	PB6857	PA7013	PB7036	PA7112	PB7569	PB7713	PA7820	PB7832	PB8024	PB8026	PB8801	PC11678	PC13687	PC16239	PC17001	PB18927	PB18983	PC22290	PC22932	PC24560	PC30119	PC34048	PC37073	PC38939	PC39138	PC40559	PC60037	B%TREMBL:O35447								
Elafin-like	57256	10	9	0.90	PB4622	PB4623	PA5209	PA5957	PC9471	PB9610	PC9896	PA16049	PC33593																																																																																									
Granulin repeat	57277	1	1	1.00	PA2514																																																																																																	
PMP inhibitors	57283	2	2	1.00	PC14881	PC29181																																																																																																
Midkine	57288	2	2	1.00	PA3640	PA4651																																																																																																
Snake toxin-like	57302	39	12	0.31	PA512	PB3411	PA7600	PA7639	PB8911	PC11603	PC13327	PC33153	PC40314	PC40486	PA6184	PB13375																																																																																						
BPTI-like	57362	10	6	0.60	PA726	PB3419	PA5612	PA5613	PA16049	PC18255																																																																																												
Defensin-like	57392	22	23	1.05	PB691	PA1672	PA1673	PA1683	PA1688	PA1690	PA1691	PA6529	PA7473	PC8299	PC9721	PC15932	PC17719	PC18150	PB18964	PC19419	PC19421	PC19422	PC19424	PC19425	PC21459	PC34644	B%TREMBL:Q9QZL4																																																																											
Hairpin loop containing domain-like	57414	5	5	1.00	PA2686	PA2687	PA3183	PA4392	PC13037																																																																																													
LDL receptor-like module	57424	33	7	0.21	PC9	PB1062	PA1063	PA1309	PA2826	PC37073	PC39896																																																																																											
Kringle-like	57440	19	10	0.53	PA2022	PA2686	PA2687	PA3710	PA3715	PA4375	PA4376	PA4392	PA7112	PB7832																																																																																								
Ovomucoid/PCI-1 like inhibitors	57467	38	23	0.61	PA1309	PB1816	PA2207	PA2208	PA5293	PA5321	PA5322	PB5332	PB6677	PA7286	PB7963	PC11375	PB13748	PB15955	PC17518	PA18532	PC18660	PB19247	PC21925	PC23842	PB6962	PB19023	PC22793																																																																											
Trefoil	57492	6	4	0.67	PA5609	PA5610	PA5608	PA70406																																																																																														
Cystine-knot cytokines	57501	54	51	0.94	PB732	PB872	PA981	PA1006	PA1007	PB1008	PA1009	PA1010	PA1011	PA1012	PA1013	PA1014	PA1015	PA1314	PA1809	PB2047	PB2203	PA2340	PA2341	PA2342	PA2343	PA2344	PA2345	PA2351	PA2960	PA2998	PA2999	PA3001	PA3002	PA3304	PB3379	PA3945	PA3980	PA4028	PB4041	PA4241	PA4242	PA4283	PA4568	PA5615	PA5618	PA5619	PA5781	PA5932	PA5933	PA5934	PB7152	PB7241	PC12829	PB19258	PC23093																																															
Complement control module/SCR domain	57535	42	22	0.52	PA823	PA956	PA1055	PB1062	PA1308	PB1501	PA1544	PA2021	PB2583	PB2774	PA3595	PB6109	PB6788	PB6857	PB6886	PB8026	PC10354	PC11678	PC38939	PC39138	PC40559	B%TREMBL:Q61408																																																																												
Blood coagulation inhibitor (disintegrin)	57552	23	1	0.04	PC21666																																																																																																	
Serine proterase inhibitors	57567	7	3	0.43	PB4150	PC14881	PC29181																																																																																															
TB module/8-cys domain	57581	4	4	1.00	PA2075	PA2076	PB3365	PB3367																																																																																														
TNF receptor-like	57586	24	2	0.08	PB4130	PA5629																																																																																																
Heparin-binding domain from vascular endothelial growth factor	57593	1	1	1.00	PA5932																																																																																																	
Fibronectin type I module	57603	3	3	1.00	PA2176	PA4375	PA7112																																																																																															
Thyroglobulin type-1 domain	57610	16	13	0.81	PA2904	PA2906	PA2907	PA2908	PA2909	PA2910	PA3952	PB5332	PB7962	PB7963	PB13748	PB19247	PA5629																																																																																					
GLA-domain	57630	9	7	0.78	PB2018	PA2022	PA2029	PB2287	PA4522	PA4527	PB8801																																																																																											
C2H2 and C2HC zinc fingers	57667	347	1	0.00	PB6077																																																																																																	
Glucocorticoid receptor-like (DNA-binding domain)	57716	81	2	0.02	PB8019	PA2295																																																																																																
Retrovirus zinc finger-like domains	57756	19	1	0.05	PC42303																																																																																																	
Rubredoxin-like	57802	2	1	0.50	PA1448																																																																																																	
Ribosomal protein L36	57840	1	1	1.00	PB19214																																																																																																	
B-box zinc-binding domain	57845	30	1	0.03	PA5651																																																																																																	
"""RING finger domain, C3HC4"""	57850	199	7	0.04	PB7034	PB9079	PC9402	PC21940	PA5650	PA5651	PA7122																																																																																											
Cysteine-rich domain	57889	39	1	0.03	PA4349																																																																																																	
FYVE/PHD zinc finger	57903	109	2	0.02	PA5650	PA5651																																																																																																
Cysteine-rich domain of the chaperone protein DnaJ.	57938	6	1	0.17	PB19066																																																																																																	
Riboflavin synthase domain-like	63380	10	2	0.20	PC13024	PC18736																																																																																																
LuxS/MPP-like metallohydrolase	63411	6	2	0.33	PA2862	PA70581																																																																																																
Frizzled cystein-rich domain	63501	21	9	0.43	PC161	PB2454	PB5037	PB5078	PA5079	PB5080	PA6165	PB7142	PC21027																																																																																									
Ganglioside M2 (gm2) activator	63707	1	1	1.00	PA2406																																																																																																	
Leukotriene A4 hydrolase N-terminal domain	63737	9	3	0.33	PA4541	PB18937	PA3267																																																																																															
Tudor/PWWP	63748	24	1	0.04	PA17567																																																																																																	
Low density lipoprotein (LDL) reseptor YWTD domain	63825	14	2	0.14	PA3952	PC37073																																																																																																
"""Diisopropylfluorophosphatase (phosphotriesterase, DFP)"""	63829	12	3	0.25	PA4428	PA4430	PC23654																																																																																															
P-domain of calnexin/calreticulin	63887	4	1	0.25	PC50601																																																																																																	
Undecaprenyl diphosphate synthase	64005	2	1	0.50	PB18871																																																																																																	
Satiety factor CART (cocaine and amphetamine regulated transcript)	64546	1	1	1.00	PB6506																																																																																																	
Thiol oxidase Erv2p	69000	3	1	0.33	PB164																																																																																																	
"""alpha-ketoacid dehydrogenase kinase, N-terminal domain"""	69012	4	1	0.25	PC30005																																																																																																	
RNase III endonuclease domain	69065	1	1	1.00	PC10673																																																																																																	
"""Penicillin-binding protein 5, C-terminal domain"""	69189	1	1	1.00	PC33189																																																																																																	
Integrin alpha N-terminal domain	69318	18	3	0.17	PA2466	PC13687	B%ENSEMBL:ENSMUSP00000037962																																																																																															
LCCL domain	69848	5	4	0.80	PA1410	PC14900	PC18794	PB19045																																																																																														
Golgi alpha-mannosidase II	69898	3	1	0.33	PA3587																																																																																																	
