InterPro Description	InterPro ID	Number in RPS	Number in Secretome	Ratio	Clone ID of Secretome clones containing domain																																																																																																						
Domain Prenyl_site	IPR001230	166	7	0.04	PA1413	PA1414	PB1429	PA7473	PA7626	PB10587	PC10921																																																																																																
Family Kazal_inhib	IPR001239	8	6	0.75	PA2208	PA5321	PA5322	PC11375	PC21925	PC23842																																																																																																	
Family Tyr_pkinase	IPR001245	350	6	0.02	PB2202	PA4349	PC14645	PA6939	PB19058	PC33240																																																																																																	
Family 3_ExoRNase	IPR001247	5	1	0.20	B%TREMBL:Q9DC52																																																																																																						
Domain CRAL_TRIO	IPR001251	18	1	0.06	PB365																																																																																																						
Family Ser_protease_Try	IPR001254	122	101	0.83	PB359	PA500	PB535	PA616	PA1055	PA1309	PA1565	PB1622	PA1847	PA1848	PA1870	PB2018	PA2022	PA2029	PA2569	PA2570	PA2571	PA2572	PA2573	PA2574	PA2575	PA2576	PB2583	PA2686	PA2687	PB2774	PB3177	PA3178	PB3180	PB3182	PA3183	PA3184	PB3185	PA3186	PB3325	PA3595	PA3629	PA3630	PA3631	PA3632	PA3633	PA3634	PA3635	PA3944	PC3946	PA4375	PA4376	PA4392	PA4522	PB4537	PB4539	PB5590	PB5591	PA5774	PB5775	PB6222	PB6748	PB6787	PB6857	PA7112	PA7286	PB7488	PB7512	PB7832	PB8448	PB8801	PB9207	PB9464	PB9612	PC10248	PC11261	PB12057	PC12202	PC13037	PC14262	PB14392	PC14568	PC15658	PB16855	PC16970	PA18532	PC19578	PC20105	PC20113	PC23021	PC33580	PC33975	PC33995	PC36104	PC38939	PC39138	PC40211	PC40559	PC50513	PC70420	PA7619	PC11234	PC25269	B%SWISS-PROT:Q61955	B%TREMBL:Q91X79	B%TREMBL:Q9D936		
Repeat NHL	IPR001258	9	1	0.11	PC23654																																																																																																						
Family Complex1_30K	IPR001268	1	1	1.00	PC9996																																																																																																						
Family Defensin_mammal	IPR001271	7	5	0.71	PA1683	PA1688	PA1690	PA1691	PC9721																																																																																																		
Family G6PD	IPR001282	3	1	0.33	PC10																																																																																																						
Allergen V5/Tpx-1 related	IPR001283	10	8	0.80	PA639	PA5743	PC10780	PC18103	PC18794	PB19045	PB19260	B%SWISS-PROT:Q03402																																																																																															
Family Glyco_hydro_59	IPR001286	1	1	1.00	PA2269																																																																																																						
Domain Znf_TRAF	IPR001293	10	1	0.10	PB7034																																																																																																						
Family Glycos_transf_1	IPR001296	6	1	0.17	PC34116																																																																																																						
Family Ependymin	IPR001299	2	1	0.50	PB19261																																																																																																						
Domain Lectin_C	IPR001304	96	25	0.26	PA643	PA956	PA1543	PA1544	PB3202	PA3611	PA3612	PA4182	PA4491	PB4809	PA4810	PA4811	PA4812	PB4991	PA5085	PA5087	PA5685	PB6142	PC6711	PB6978	PB9479	PC12754	PC22007	PC38643	B%TREMBL:Q9EPW4																																																																														
Domain DnaJ_CXXCXGXG	IPR001305	9	1	0.11	PB19066																																																																																																						
Family Rhodanese	IPR001307	3	2	0.67	PB4603	PC17239																																																																																																					
Family HIT	IPR001310	5	1	0.20	PC10463																																																																																																						
Family Chymotrypsin	IPR001314	114	97	0.85	PB359	PA500	PB535	PA616	PA1055	PA1309	PA1565	PA1847	PA1848	PA1870	PB2018	PA2022	PA2029	PA2569	PA2570	PA2571	PA2572	PA2573	PA2574	PA2575	PA2576	PB2583	PA2686	PA2687	PB2774	PB3177	PA3178	PB3180	PB3182	PA3183	PA3184	PB3185	PA3186	PB3325	PA3595	PA3629	PA3630	PA3631	PA3632	PA3633	PA3634	PA3635	PA3944	PC3946	PA4375	PA4376	PA4392	PA4522	PB4537	PB4539	PB5590	PB5591	PA5774	PB5775	PB6222	PB6748	PB6787	PB6857	PA7112	PA7286	PB7488	PB7512	PB7832	PB8448	PB8801	PB9207	PB9464	PB9612	PC10248	PC11261	PB12057	PC12202	PC13037	PC14262	PB14392	PC14568	PC15658	PB16855	PC16970	PC20105	PC20113	PC23021	PC33580	PC33995	PC36104	PC38939	PC39138	PC40211	PC40559	PC50513	PC70420	PA7619	PC11234	PC25269	B%SWISS-PROT:Q61955	B%TREMBL:Q91X79	B%TREMBL:Q9D936						
Family Inhibin_betaC	IPR001318	1	1	1.00	PA3001																																																																																																						
Family EPO_TPO	IPR001323	1	2	2.00	PA5639	B%SWISS-PROT:P07321																																																																																																					
Family Interleukin_4_13	IPR001325	2	2	1.00	PA2954	PA2978																																																																																																					
Family FAD_pyr_redox	IPR001327	6	1	0.17	PC40548																																																																																																						
Domain GDS_CDC24	IPR001331	9	1	0.11	PB365																																																																																																						
Phosphoglycerate/bisphosphoglycerate mutase	IPR001345	10	2	0.20	PC13454	PC31197																																																																																																					
Domain Homeobox	IPR001356	184	1	0.01	PA4439																																																																																																						
Family Fetuin	IPR001363	3	2	0.67	PA660	PA7889																																																																																																					
Domain TNFR_c6	IPR001368	28	2	0.07	PA3258	PB4130																																																																																																					
Family Cullin	IPR001373	8	1	0.13	PC23899																																																																																																						
Family Glyco_hydro_47	IPR001382	3	2	0.67	PC4614	PC19469																																																																																																					
Family Clathrn_med	IPR001392	9	1	0.11	PC22044																																																																																																						
Family Calsequestrin	IPR001393	2	2	1.00	PA1136	PA1137																																																																																																					
Aldo/keto reductase	IPR001395	30	2	0.07	PA3091	PA7122																																																																																																					
Family Somatotropin	IPR001400	29	23	0.79	PB1793	PA2368	PA4361	PA4362	PA4389	PA4391	PA4392	PA4509	PB4510	PB4511	PB4512	PB4514	PB4515	PB6541	PB7509	PC8378	PB8879	PB9151	PB9313	PC14889	PB14928	PC16109	PC17684																																																																																
Family Hsp90	IPR001404	4	1	0.25	PA9727																																																																																																						
Domain DEAD	IPR001410	77	1	0.01	PC13000																																																																																																						
"Aminoacyl-tRNA synthetase, class I"	IPR001412	20	1	0.05	PA1635																																																																																																						
Family Parathyrd_hrm	IPR001415	2	2	1.00	PB4636	PB4638																																																																																																					
Family ATPase8_mit	IPR001421		1	 	B%SWISS-PROT:P03930																																																																																																						
Family SOD_CU_ZN	IPR001424	4	1	0.25	PA5261																																																																																																						
Family YKase_receptorV	IPR001426	10	1	0.10	PC26756																																																																																																						
Family RNaseA	IPR001427	13	12	0.92	PB750	PA751	PB752	PA1806	PA1807	PA4850	PB6991	PB7038	PB7818	PC15581	PC18407	PC40584																																																																																											
Family DeoxyUTPase	IPR001428	2	1	0.50	PC42303																																																																																																						
Family Peptidase_M16	IPR001431	5	2	0.40	PA2862	PA70581																																																																																																					
Oxidoreductase FAD/NAD(P)-binding	IPR001433	8	2	0.25	PC13024	PC18736																																																																																																					
Domain EGF_II	IPR001438	38	25	0.66	PA956	PA1543	PA1544	PC1824	PB2018	PA2029	PA2075	PA2076	PB2287	PA2826	PB3367	PA3674	PA4375	PC5206	PC5207	PC5208	PA6156	PA7112	PA7820	PB8026	PB8801	PC11678	PC22932	PC24560	PC39138																																																																														
Family Glyco_hydro_56PH	IPR001439	1	1	1.00	PA5291																																																																																																						
Repeat TPR	IPR001440	109	5	0.05	PA4166	PA4167	PB4507	PB6867	PC15207																																																																																																		
Repeat ProcollagnC4	IPR001442	5	5	1.00	PA1424	PA1425	PB1426	PC1428	PB19249																																																																																																		
Domain SH3	IPR001452	147	6	0.04	PA1287	PB2202	PA7652	PB60281	PB19058	PC33240																																																																																																	
Family AspproteaseA1	IPR001461	8	6	0.75	PA1563	PA1564	PA3127	PA4818	PB7814	PB8974																																																																																																	
Family Annexin	IPR001464	13	1	0.08	PB7088																																																																																																						
Domain PDZ	IPR001478	100	4	0.04	PB3338	PA7286	PA18532	PB5255																																																																																																			
Family Urotensin_II	IPR001483	1	1	1.00	PA6277																																																																																																						
Domain Bromodomain	IPR001487	19	2	0.11	PA5650	PA5651																																																																																																					
Domain Importinb_N	IPR001494	9	1	0.11	PC39063																																																																																																						
Family A1A_glycop	IPR001500	3	3	1.00	PA4140	PA4141	PB4142																																																																																																				
Family Glyco_trans_10	IPR001503	2	1	0.50	PC50467																																																																																																						
Family Astacin	IPR001506	6	3	0.50	PA1005	PB5671	PB6268																																																																																																				
Endoglin/CD105 antigen	IPR001507	10	1	0.10	PC4076																																																																																																						
Family Ferritin	IPR001519	5	1	0.20	PB9414																																																																																																						
Family C5_DNA_meth	IPR001525	7	1	0.14	PC31568																																																																																																						
Family LY6_UPAR	IPR001526	19	7	0.37	PB3411	PA7639	PB8911	PC13327	PC40486	PA6184	PB13375																																																																																																
Family Glyco_hydro_20	IPR001540	2	2	1.00	PA2673	PA2674																																																																																																					
Family Gly_hormoneB	IPR001545	7	5	0.71	PB2203	PA3304	PA5781	PB19258	PC24011																																																																																																		
Acyl-CoA dehydrogenase	IPR001552	14	3	0.21	PA446	PC8896	PC23993																																																																																																				
Family Serine_carbpept	IPR001563	3	3	1.00	PA4457	PC12431	PC15269																																																																																																				
Family NDK	IPR001564	11	3	0.27	PA7080	PA7474	PA18845																																																																																																				
Family RNase_T2	IPR001568	2	2	1.00	PC50421	PC50448																																																																																																					
"Glycoside hydrolase, family 18/2"	IPR001579	3	2	0.67	PC12916	PC14939																																																																																																					
Family Calreticulin	IPR001580	4	1	0.25	PC50601																																																																																																						
Family LIF_OSM	IPR001581	1	1	1.00	PA3314																																																																																																						
Family DNase_I	IPR001582	4	3	0.75	PA1735	PA1736	PB8643																																																																																																				
Domain Rve	IPR001584	5	1	0.20	PB2850																																																																																																						
Family Casein	IPR001588	5	4	0.80	PA1533	PA1534	PA1535	PA1536																																																																																																			
Family Reprolysin	IPR001590	30	6	0.20	PA6118	PA6723	PB7821	PC30996	PC19732	PC21666																																																																																																	
Family Pyrophosphatase	IPR001596	4	1	0.25	PC15412																																																																																																						
Family MacrogloblnA2	IPR001599	7	6	0.86	PA433	PA2639	PA3802	PA3803	PC22298	PC25247																																																																																																	
Family Galanin	IPR001600	1	1	1.00	PA2268																																																																																																						
Family Methyltransf	IPR001601	13	1	0.08	PB9720																																																																																																						
Family Endonuclease	IPR001604	4	2	0.50	PA1893	PB4253																																																																																																					
Repeat LRR	IPR001611	174	31	0.18	PB700	PB701	PA992	PA1199	PB1316	PA1652	PB1782	PA2173	PA2903	PB3130	PA3372	PB4073	PC5206	PC5207	PC5208	PB6474	PB8598	PB8634	PC15153	PC15175	PB17134	PC18273	PB18906	PC22838	PC23706	PC31489	PC33203	PC33407	PA4126	PB6461	PB7584																																																																								
Domain DnaJ_N	IPR001623	42	4	0.10	PB4507	PA6533	PB9483	PB19066																																																																																																			
Family GLFV_Dh	IPR001625	1	1	1.00	PA2403																																																																																																						
Domain Sema	IPR001627	21	5	0.24	PA5054	PA5055	PA5056	PA5057	PA5058																																																																																																		
Domain Fpolygl_synthtse	IPR001645	1	1	1.00	PA2190																																																																																																						
Domain Ribosomal_S18	IPR001648	2	2	1.00	PC8858	PB10159																																																																																																					
Family Glyco_hydro_2	IPR001649	2	2	1.00	PA2564	PB11401																																																																																																					
Domain Helicase_C	IPR001650	69	1	0.01	PC13000																																																																																																						
Domain Gastrin	IPR001651	2	2	1.00	PA1169	PA2289																																																																																																					
Family SonicHH	IPR001657	3	3	1.00	PB1706	PA2940	PA5111																																																																																																				
Family Glyco_hydro_37	IPR001661	1	1	1.00	PB7826																																																																																																						
Family Glyco_trans_29	IPR001675	14	12	0.86	PA5120	PA5121	PB5125	PB5127	PA5129	PB6446	PA5119	PB5122	PA5123	PB5124	PA5130	PC36425																																																																																											
Bacterial Sun/eukaryotic nucleolar Nop1/Nop2	IPR001678	5	1	0.20	PC34797																																																																																																						
Repeat WD40	IPR001680	215	8	0.04	PA1837	PA6537	PB7715	PC31217	PC50166	PA12771	PC12858	PC14424																																																																																															
Domain Ribosomal_L27	IPR001684	1	1	1.00	PB19212																																																																																																						
Domain ATP_GTP_A	IPR001687	854	57	0.07	PA906	PA1321	PA1323	PA1413	PA1414	PA1415	PA1536	PC1824	PA2030	PA2951	PA3053	PB3161	PA3254	PA3714	PA4210	PA4211	PA4392	PA4393	PA4414	PA4460	PB4603	PB4697	PA6282	PB6452	PC6739	PB7036	PB7402	PB7574	PA7580	PB8448	PC8852	PC9230	PC10037	PB10636	PB11159	PB11670	PC11777	PC12804	PC13000	PC13448	PC14848	PC16239	PC16345	PC17069	PB19210	PC19742	PC22007	PC24211	PC24237	PC24560	PC25108	PC30462	PC37358	PC40291	PB6867	PB19316	PC34120																																														
Calcitonin-like	IPR001693	3	3	1.00	PB714	PA1088	PA2851																																																																																																				
Family Lysyl_oxidase	IPR001695	3	3	1.00	PA3340	PA3342	PB9370																																																																																																				
"Transcription factor, T-box"	IPR001699	14	1	0.07	PA5498																																																																																																						
Family Alphafetoprot	IPR001703	1	1	1.00	PA641																																																																																																						
Family Orexin	IPR001704	1	1	1.00	PA2650																																																																																																						
Family FPN_cyt_redctse	IPR001709	5	1	0.20	PC18736																																																																																																						
Family Adrenomedullin	IPR001710	1	1	1.00	PA614																																																																																																						
Domain PI_PLC_Y	IPR001711	10	1	0.10	PC14770																																																																																																						
Family PLD	IPR001736	6	1	0.17	PC15117																																																																																																						
Domain RRNA_A_dimeth	IPR001737	2	1	0.50	PB2707																																																																																																						
Methyl-CpG binding	IPR001739	8	1	0.13	PB19085																																																																																																						
Family Lipid_transprt_N	IPR001747	1	1	1.00	PA3792																																																																																																						
Domain kinesin_motor	IPR001752	29	1	0.03	PB3161																																																																																																						
Domain EnCoA_hydrtse	IPR001753	6	1	0.17	PC19154																																																																																																						
Family Pentaxin	IPR001759	10	8	0.80	PA1499	PB4012	PA4700	PA4974	PA6916	PB8026	PB8291	PA14134																																																																																															
Domain Disintegrin	IPR001762	24	2	0.08	PB7821	PC21666																																																																																																					
Rhodanese-like	IPR001763	17	2	0.12	PB4603	PC17239																																																																																																					
Domain TF_Fork_head	IPR001766	34	2	0.06	PB2157	PA3718																																																																																																					
Domain Hedgehog_hint	IPR001767	3	3	1.00	PB1706	PA2940	PA5111																																																																																																				
Domain Kinase_Cterm	IPR001772	5	1	0.20	PC14456																																																																																																						
Family Ribosomal_L21p	IPR001787	1	1	1.00	PC6624																																																																																																						
Domain Laminin_G	IPR001791	27	17	0.63	PA1413	PA1414	PB1418	PB2287	PA2826	PA3254	PA3255	PA3257	PA3258	PA4527	PA5105	PC5206	PC5207	PC5208	PB6984	PA7013	PC22932																																																																																						
Family Frataxin	IPR001794	1	1	1.00	PA2198																																																																																																						
Repeat Kelch	IPR001798	46	1	0.02	PC22220																																																																																																						
Family Ephrin	IPR001799	7	2	0.29	PA1837	PA1838																																																																																																					
Family Isodh	IPR001804	5	1	0.20	PB3416																																																																																																						
Family Ras_trnsfrmng	IPR001806	104	3	0.03	PB11159	PC24211	B%TREMBL:Q91Z34																																																																																																				
Cyclin-like F-box	IPR001810	49	2	0.04	PC23332	PC50166																																																																																																					
Family Chemokine_IL8	IPR001811	34	31	0.91	PA2515	PA2873	PA3345	PA3685	PA5012	PA5013	PA5014	PB5015	PA5016	PA5017	PB5018	PA5019	PA5020	PA5021	PA5022	PA5023	PA5024	PA5025	PA5026	PA5027	PA5028	PA5029	PA5030	PA5031	PA5033	PA6241	PA7207	PA7239	PA7294	PA7583	PA7629																																																																								
Family EF_TS	IPR001816	1	1	1.00	PC8384																																																																																																						
Family Matrixin	IPR001818	18	14	0.78	PA3703	PA3704	PA3705	PA3706	PA3710	PA3712	PA3713	PA3714	PA3715	PA6721	PA7779	PB19073	PC39023	PC71095																																																																																									
Family Chromogranin_AB	IPR001819	2	2	1.00	PA1321	PA1322																																																																																																					
Family TIMP	IPR001820	4	4	1.00	PB386	PA5656	PA5657	PA5658																																																																																																			
Domain ANF_receptor	IPR001828	32	4	0.13	PB5901	PB5914	PC22632	PC30517																																																																																																			
Family Cyt_B5_reductase	IPR001834	3	1	0.33	PC13024																																																																																																						
Domain TGFb	IPR001839	33	31	0.94	PB732	PB872	PA1006	PA1007	PB1008	PA1009	PA1010	PA1011	PA1012	PA1013	PA1014	PA1015	PA1809	PA2340	PA2341	PA2342	PA2343	PA2344	PA2345	PA2351	PA2998	PA2999	PA3001	PA3002	PA3980	PA4028	PA4568	PA5615	PA5618	PA5619	PC23093																																																																								
Domain Anaphylatoxn	IPR001840	2	2	1.00	PA2639	PC31673																																																																																																					
Domain Znf_ring	IPR001841	181	6	0.03	PB9079	PC9402	PC21940	PA5650	PA5651	PA7122																																																																																																	
Domain VWF_D	IPR001846	7	4	0.57	PC3798	PB4150	PC14881	PC29181																																																																																																			
Domain PH	IPR001849	159	5	0.03	PA4349	PC32586	PB365	PB5255	PC15396																																																																																																		
Family Defensin_beta	IPR001855	6	6	1.00	PA1672	PA1673	PA6529	PA7473	PC19421	PC21459																																																																																																	
Family PBP	IPR001858	4	1	0.25	PC14300																																																																																																						
Family MAC_perforin	IPR001862	9	7	0.78	PC9	PB1062	PA1063	PC3736	PA4280	PB7533	PC39896																																																																																																
Family Glypican	IPR001863	4	3	0.75	PC161	PB2454	PA6165																																																																																																				
Family Ribosomal_S2	IPR001865	7	1	0.14	PB849																																																																																																						
Domain DED	IPR001875	6	1	0.17	PA2050																																																																																																						
Domain Znf_RanGDP	IPR001876	19	1	0.05	PC246																																																																																																						
Family Znf_CCHC	IPR001878	28	1	0.04	PC42303																																																																																																						
Domain EGF_Ca	IPR001881	85	54	0.64	PB486	PA1005	PB1441	PA1543	PA1544	PC1824	PB2018	PA2029	PA2073	PA2074	PA2075	PA2076	PB2287	PB3365	PB3367	PA3595	PB3596	PA3600	PA3601	PA3602	PA3952	PC4076	PA4522	PA4527	PC5206	PC5207	PC5208	PA5634	PA5635	PA5636	PB5637	PB5671	PA6156	PB6268	PB6857	PA7013	PB7036	PB7569	PA7820	PB8024	PB8026	PB8801	PC11678	PC13687	PC16239	PC17001	PC22932	PC24560	PC34048	PC37073	PC38939	PC40559	PC60037	B%TREMBL:O35447																																																	
Family Mam_lipoxygenase	IPR001885	3	1	0.33	PA699																																																																																																						
Domain LamNT	IPR001886	14	14	1.00	PA3254	PA3255	PA3258	PA3259	PA3260	PA3261	PA3262	PB3522	PB4043	PB4044	PB5887	PA6183	PB7713	PB18927																																																																																									
Family Cathelicidin	IPR001894	2	2	1.00	PA1399	PB3948																																																																																																					
Domain RasGRF_CDC25	IPR001895	20	1	0.05	PC15396																																																																																																						
Family Glyco_hydro_22	IPR001916	9	8	0.89	PA3253	PA3510	PA3512	PB9167	PC10564	PC10921	PC17495	PC37591																																																																																															
Domain NHtransf_2	IPR001917	9	1	0.11	PA678																																																																																																						
Family Porin_Euk	IPR001925	3	1	0.33	PA5928																																																																																																						
Domain Endothln_tox	IPR001928	3	3	1.00	PA1825	PA1826	PA1827																																																																																																				
Family Ala_peptase	IPR001930	8	3	0.38	PA4541	PB18937	PA3267																																																																																																				
Family Calcitonin_A	IPR001935	1	1	1.00	PA1088																																																																																																						
Family Protease2C	IPR001940	2	2	1.00	PA7286	PA18532																																																																																																					
Domain Mcortin_ACTH	IPR001941	1	1	1.00	PA4427																																																																																																						
Domain NMU	IPR001942	1	1	1.00	PB7265																																																																																																						
Family Glyco_hydro_35	IPR001944	3	2	0.67	PA986	PC15234																																																																																																					
Domain Complex1_51K	IPR001949	1	1	1.00	PB3897																																																																																																						
Family TIF_SUI1	IPR001950	10	1	0.10	PA3258																																																																																																						
Family Alk_phosphtse	IPR001952	3	2	0.67	PA672	PA674																																																																																																					
Family Pancreatic_hormn	IPR001955	3	3	1.00	PA4483	PB10026	PC40171																																																																																																				
Domain Znf_PHD	IPR001965	55	2	0.04	PA5650	PA5651																																																																																																					
Family Glyco_hydro_56	IPR001968	4	3	0.75	PB2848	PB2849	PA5291																																																																																																				
Family Aspprotease_site	IPR001969	16	7	0.44	PA1563	PA1564	PA3127	PA4818	PB7814	PB8974	PC42303																																																																																																
Family Colipase	IPR001981	1	1	1.00	PB8290																																																																																																						
Family Lon_endopep	IPR001984	2	1	0.50	PC14848																																																																																																						
Family Granin	IPR001990	7	3	0.43	PA1321	PA1322	PA4989																																																																																																				
Family Mitoch_carrier	IPR001993	55	5	0.09	PB3453	PB7306	PC11315	PC13949	PB4641																																																																																																		
Family Aspprotease_rtrv	IPR001995	3	1	0.33	PC42303																																																																																																						
Domain Osteonectin	IPR001999	2	2	1.00	PB1816	PA5293																																																																																																					
Family Lamp	IPR002000	5	1	0.20	PC16602																																																																																																						
Family Anim_peroxidase	IPR002007	6	5	0.83	PA1934	PA3739	PA4634	PA4635	PB16565																																																																																																		
Domain GnRH	IPR002012		1	 	B%SWISS-PROT:P13562																																																																																																						
Family Peroxidase	IPR002016	19	4	0.21	PA1561	PA1934	PA3739	PC31926																																																																																																			
Repeat Spectrin	IPR002017	33	1	0.03	PB60281																																																																																																						
Family CarbesteraseB	IPR002018	14	13	0.93	PB88	PB172	PA484	PB1304	PA1950	PB4598	PC12932	PC13318	PC23803	PC25429	PA1948	PA5629	B%TREMBL:Q8VCU1																																																																																										
Domain Citrate_synt	IPR002020	1	1	1.00	PB12869																																																																																																						
Domain VWF_A	IPR002035	52	24	0.46	PA1055	PA1410	PA1415	PA1431	PA1432	PB1434	PB2583	PA3051	PA3052	PA3053	PB3054	PA3599	PA3600	PA3601	PA3602	PB6141	PB8026	PC11777	PC14900	PC16221	PC22290	PC22555	PC38909	PC39976																																																																															
Family Osteopontin	IPR002038	1	1	1.00	PA5335																																																																																																						
Family Tachykinin	IPR002040	3	3	1.00	PA5469	PA5470	PB19098																																																																																																				
Domain CBD_4	IPR002044	3	2	0.67	PB1926	PC9929																																																																																																					
Calcium-binding EF-hand	IPR002048	201	19	0.09	PA1096	PB1441	PB1816	PA2208	PA2350	PA4051	PA5293	PB5637	PA6914	PB7962	PB7963	PB7990	PC10161	PC11315	PC11639	PC19506	PC23842	PC35952	PA5036																																																																																				
Domain Laminin_EGF	IPR002049	32	19	0.59	PB2787	PA2826	PA3254	PA3255	PA3257	PA3258	PA3259	PA3260	PA3261	PA3262	PA3263	PB3522	PB4043	PB4044	PB5887	PA6183	PB7713	PC17001	PB18927																																																																																				
Domain N6_Mtase	IPR002052	14	3	0.21	PC114	PA1407	PA3478																																																																																																				
Family MAS20_receptor	IPR002056	3	1	0.33	PC15806																																																																																																						
Family Mit_carrier	IPR002067	4	2	0.50	PC11315	PC13949																																																																																																					
Interferon gamma	IPR002069	1	1	1.00	PA2893																																																																																																						
Family NGF	IPR002072	3	3	1.00	PA981	PA3945	PB4041																																																																																																				
Domain PDEase	IPR002073	14	1	0.07	PA4235																																																																																																						
Repeat SVP_II	IPR002080	1	1	1.00	PB6992																																																																																																						
Family Aldehyde_dehydr	IPR002086	42	9	0.21	PA2029	PA2176	PA3258	PB4150	PB6583	PB6677	PC12803	PC13448	PC19641																																																																																														
Repeat PPTA	IPR002088	13	2	0.15	PA6118	PC70799																																																																																																					
Family Cmplx1_20kDa	IPR002096	1	1	1.00	PC15938																																																																																																						
Domain TF_MADSbox	IPR002100	5	1	0.20	PB5360																																																																																																						
Family Glutaredoxin	IPR002109	4	1	0.25	PB19280																																																																																																						
Repeat ANK	IPR002110	151	2	0.01	PB18982	PB18978																																																																																																					
Family Leuzip_Jun	IPR002112	3	1	0.33	PA3079																																																																																																						
Family Acyltransferase	IPR002123	12	1	0.08	PB8743																																																																																																						
Family COX5B	IPR002124	1	1	1.00	PA1448																																																																																																						
Domain Cadherin	IPR002126	67	3	0.04	PC26428	PC29513	B%TREMBL:Q8VCE3																																																																																																				
Domain CSA_PPIase	IPR002130	18	3	0.17	PB232	PA4460	PA4461																																																																																																				
Domain LRI	IPR002149	18	1	0.06	PB18953																																																																																																						
Family RNaseH	IPR002156	6	1	0.17	PA4861																																																																																																						
Family Cobalamin_bind	IPR002157	2	2	1.00	PA2372	PA5534																																																																																																					
Domain Lipolytic_enzyme	IPR002168	2	2	1.00	PB9522	PC29369																																																																																																					
Family Ribosomal_L2	IPR002171	3	1	0.33	PB6564																																																																																																						
Domain LDL_recept_A	IPR002172	32	7	0.22	PC9	PB1062	PA1063	PA1309	PA2826	PC37073	PC39896																																																																																																
Furin-like cysteine rich region	IPR002174	11	5	0.45	PB4620	PC13643	PC15946	PC17001	PC17359																																																																																																		
Domain Fibrinogen_C	IPR002181	18	16	0.89	PC370	PA645	PA646	PB647	PA2089	PA2126	PB5686	PA6295	PC6732	PB7735	PC16698	PB18983	PB19346	PC23115	PC36712	PC51149																																																																																							
Family Interleukin_3	IPR002183	1	1	1.00	PA2976																																																																																																						
Family ADH_short	IPR002198	43	11	0.26	PB311	PA2801	PB3646	PB4805	PB7033	PC17999	PC21204	PC31607	PC31664	PC40278	PB205																																																																																												
PTM Intein	IPR002203	3	3	1.00	PB1706	PA2940	PA5111																																																																																																				
Heparin-binding growth factor/Fibroblast growth factor	IPR002209	22	11	0.50	PA2109	PA2110	PA2111	PA2113	PA2114	PA2115	PA2117	PA2118	PA7510	PA8014	PA8973																																																																																												
Matrix fibril-associated	IPR002212	4	4	1.00	PA2075	PA2076	PB3365	PB3367																																																																																																			
"Protein kinase C, phorbol ester/diacylglycerol binding"	IPR002219	44	1	0.02	PA4349																																																																																																						
Domain WAP	IPR002221	10	9	0.90	PB4622	PB4623	PA5209	PA5957	PC9471	PB9610	PC9896	PA16049	PC33593																																																																																														
Domain Kunitz_BPTI	IPR002223	11	7	0.64	PA726	PB1434	PB3419	PA5612	PA5613	PA16049	PC18255																																																																																																
Family Glyco_hydro_27	IPR002241	1	1	1.00	PB3866																																																																																																						
Family Glyco_hydro_36Me	IPR002287	1	1	1.00	PB3866																																																																																																						
Family Ser_thr_pkinase	IPR002290	365	7	0.02	PB2202	PA4349	PC14645	PA17567	PA6939	PB19058	PC33240																																																																																																
"Cysteinyl-tRNA synthetase, class Ia"	IPR002308	2	1	0.50	PC12965																																																																																																						
"Aspartyl-tRNA synthetase, class IIb"	IPR002312	3	1	0.33	PC30004																																																																																																						
"tRNA synthetases, class-II (G, H, P and S)"	IPR002314	6	2	0.33	PB12021	PB12998																																																																																																					
"Seryl-tRNA synthetase, class IIa"	IPR002317	2	1	0.50	PB12998																																																																																																						
Family Lipase_lipo	IPR002330	1	1	1.00	PA3344																																																																																																						
Family Lipase_panc	IPR002331	2	2	1.00	PB4413	PA4414																																																																																																					
Family Lipase_hep	IPR002333	1	1	1.00	PA2779																																																																																																						
Domain HSF_ETS	IPR002341	27	1	0.04	PA1875																																																																																																						
Family Lipocalin	IPR002345	16	12	0.75	PA726	PA821	PA3280	PA3804	PC3806	PA3807	PA3808	PA4586	PA4796	PC10863	PC17743	PB18098																																																																																											
Family Adh_short_C2	IPR002347	32	11	0.34	PB311	PA2801	PB3646	PB4805	PB7033	PC17999	PC21204	PC31607	PC31664	PC40278	PB205																																																																																												
Family IL1_HBGF	IPR002348	23	10	0.43	PA2109	PA2110	PA2111	PA2113	PA2114	PA2115	PA2117	PA2118	PA7510	PA8973																																																																																													
Domain kazal	IPR002350	28	23	0.82	PA1309	PB1816	PA2207	PA2208	PA5293	PA5321	PA5322	PB5332	PB6677	PA7286	PB7962	PB7963	PC11375	PB13748	PB15955	PC17518	PA18532	PB19247	PC21925	PC23842	PB6962	PB19023	PC22793																																																																																
Family Emajor_basic	IPR002352	1	1	1.00	PA4491																																																																																																						
Family Interleukin_4	IPR002354	1	1	1.00	PA2978																																																																																																						
Family MultiCu_oxidse2	IPR002355	3	1	0.33	PA1457																																																																																																						
Family Defensin_alpha	IPR002366	10	11	1.10	PA1675	PB1676	PB1677	PA1679	PA1683	PA1688	PA1690	PA1691	PC8299	PC9721	B%TREMBL:Q9QZL4																																																																																												
Family Nociceptin	IPR002367	1	1	1.00	PA4006																																																																																																						
Purine/pyrimidine phosphoribosyl transferase	IPR002375	3	1	0.33	PA2940																																																																																																						
